Similarity,K,RMSE,Fit Time
Pearson,20.0,1.0702459623482852,0.8850128173828125
Pearson,25.0,1.0615293480081134,0.8884080410003662
Pearson,30.0,1.0560347060235389,0.8803988933563233
Pearson,35.0,1.052106061257934,0.8771918296813965
Pearson,40.0,1.0493265871939985,0.9325983047485351
Pearson,45.0,1.0473056649311303,0.8995863437652588
Pearson,50.0,1.0458718412554393,0.9223211288452149
Pearson,55.0,1.0447247200723964,0.8992149829864502
Pearson,60.0,1.0438025863083145,0.9690579891204834
Pearson,65.0,1.0430866804380314,0.8745909690856933
Pearson,70.0,1.0424047499340887,0.8776135444641113
Pearson,75.0,1.0419121754689316,0.9117932796478272
Pearson,80.0,1.0415560597732796,0.8959907531738281
Pearson,85.0,1.041231214181113,0.8910007476806641
Pearson,90.0,1.0408948156514672,0.9203924655914306
Pearson,95.0,1.0406172447463828,0.9168045520782471
Pearson,100.0,1.0404150338147056,0.9038105487823487
Cosine,20.0,1.0644312723013514,0.7561949253082275
Cosine,25.0,1.0542677116286363,0.7569912433624267
Cosine,30.0,1.0474156244955553,0.7634032726287842
Cosine,35.0,1.0423116724842407,0.8392017841339111
Cosine,40.0,1.0393121637299054,0.7557798862457276
Cosine,45.0,1.0375607219461975,0.7471957206726074
Cosine,50.0,1.0362006603805405,0.8432043552398681
Cosine,55.0,1.0352926967066827,0.7479852199554443
Cosine,60.0,1.03494301815326,0.7514100074768066
Cosine,65.0,1.034907707170995,0.7532178401947022
Cosine,70.0,1.0349200764873063,0.777193832397461
Cosine,75.0,1.0350374147281516,0.7894275665283204
Cosine,80.0,1.0353109510589484,0.7805960655212403
Cosine,85.0,1.0355783355371682,0.7583804130554199
Cosine,90.0,1.0360303969268938,0.7590110301971436
Cosine,95.0,1.036456043933317,0.7694084644317627
Cosine,100.0,1.0368890785397507,0.7623194217681885
